"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV67"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV68"	"Eukaryota"	"Nemertea"	"Pilidiophora"	"Heteronemertea"	"Lineidae"	"Lineus"	"Lineus_bilineatus"
"ASV69"	"Eukaryota"	"Nemertea"	"Palaeonemertea"	"Tubulanidae"	"Tubulanidae"	"Tubulanus"	"Tubulanus_annulatus"
"ASV70"	"Eukaryota"	"Rhodophyta"	"Florideophyceae"	"Bonnemaisoniales"	"Bonnemaisoniaceae"	"Bonnemaisonia"	"Bonnemaisonia_hamifera"
"ASV71"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV72"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV73"	"Eukaryota"	"Nemertea"	"Palaeonemertea"	"Cephalothricidae"	"Cephalothricidae"	"Cephalothrix"	"Cephalothrix_rufifrons"
"ASV74"	"Eukaryota"	"Rhodophyta"	"Florideophyceae"	NA	NA	NA	NA
"ASV75"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV76"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV77"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV78"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV79"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV80"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV81"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV82"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV83"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV84"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV85"	"Eukaryota"	"Nemertea"	"Enopla"	"Monostilifera"	"Tetrastemmatidae"	"Cyanophthalma"	"Cyanophthalma_obscura"
"ASV86"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV87"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV88"	"Eukaryota"	"Rhodophyta"	"Florideophyceae"	"Bonnemaisoniales"	"Bonnemaisoniaceae"	"Bonnemaisonia"	"Bonnemaisonia_asparagoides"
"ASV89"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV90"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV91"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV92"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV93"	"Eukaryota"	"Bryozoa"	"Gymnolaemata"	"Cheilostomatida"	"Calloporidae"	"Callopora"	"Callopora_lineata"
"ASV94"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV95"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV96"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV97"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV98"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV99"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV100"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV101"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV102"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV103"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV104"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV105"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV106"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV107"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV108"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV109"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV110"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV111"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV112"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV113"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV114"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV115"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV116"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV117"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV118"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV119"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV120"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV121"	"Eukaryota"	"Chordata"	"Ascidiacea"	"Aplousobranchia"	"Didemnidae"	"Diplosoma"	"Diplosoma_listerianum"
"ASV122"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV123"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV124"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV125"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV126"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV127"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV128"	"Eukaryota"	"Bacillariophyta"	NA	NA	NA	NA	NA
"ASV129"	"Eukaryota"	"Bacillariophyta"	NA	NA	NA	NA	NA
"ASV130"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV131"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV132"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV133"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV134"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV135"	"Eukaryota"	"Arthropoda"	"Malacostraca"	"Amphipoda"	"Atylidae"	"Atylus"	"Atylus_swammerdami"
"ASV136"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV137"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV138"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV139"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV140"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV141"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV142"	"Eukaryota"	"Arthropoda"	NA	NA	NA	NA	NA
"ASV143"	"Eukaryota"	"Arthropoda"	"Pycnogonida"	"Pantopoda"	"Ammotheidae"	"Achelia"	"Achelia_hispida"
"ASV144"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV145"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV146"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV147"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV148"	"Eukaryota"	"Bryozoa"	"Gymnolaemata"	"Cheilostomatida"	"Bugulidae"	"Bicellariella"	"Bicellariella_ciliata"
"ASV149"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV150"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV151"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV152"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV153"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV154"	"Eukaryota"	"Bacillariophyta"	NA	NA	NA	NA	NA
"ASV155"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV156"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV157"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV158"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV159"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV160"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV161"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV162"	"Eukaryota"	"Ectocarpales"	"Phaeophyceae_16"	"Ectocarpales"	"Acinetosporaceae"	"Acinetospora"	"Acinetospora_crinita"
"ASV163"	"Eukaryota"	"Rhodophyta"	"Florideophyceae"	NA	NA	NA	NA
"ASV164"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV165"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV166"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV167"	"Eukaryota"	"Mollusca"	"Gastropoda"	"Littorinimorpha"	"Hydrobiidae"	"Hydrobia"	"Hydrobia_acuta"
"ASV168"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV169"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV170"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV171"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV172"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV173"	"Eukaryota"	"Chlorophyta"	"Mamiellophyceae"	"Dolichomastigales"	"Dolichomastigaceae"	"Dolichomastix"	"Dolichomastix_tenuilepis"
"ASV174"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV175"	"Eukaryota"	"Bacillariophyta"	"Coscinodiscophyceae"	"Thalassiosirales"	"Thalassiosiraceae"	"Thalassiosira"	"Thalassiosira_nordenskioeldii"
"ASV176"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV177"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV178"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV179"	"Eukaryota"	"Bacillariophyta"	"Coscinodiscophyceae"	"Thalassiosirales"	"Skeletonemataceae"	"Skeletonema"	NA
"ASV180"	"Eukaryota"	"Bacillariophyta"	"Coscinodiscophyceae"	"Thalassiosirales"	"Skeletonemataceae"	"Skeletonema"	NA
"ASV181"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV182"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV183"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV184"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV185"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV186"	"Eukaryota"	"Chlorophyta"	"Pycnococcaceae"	"Pycnococcaceae"	"Pycnococcaceae"	"Pycnococcus"	"Pycnococcus_provasolii"
"ASV187"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV188"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV189"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV190"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV191"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV192"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV193"	"Eukaryota"	"Bacillariophyta"	"Bacillariophyceae"	"Naviculales"	"Berkeleyaceae"	"Berkeleya"	"Berkeleya_fennica"
"ASV194"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV195"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV196"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV197"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV198"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV199"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV200"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV201"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV202"	"Eukaryota"	"Bacillariophyta"	"Coscinodiscophyceae"	"Thalassiosirales"	NA	NA	NA
"ASV203"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV204"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV205"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV206"	"Eukaryota"	"Arthropoda"	"Hexanauplia"	"Calanoida"	"Acartiidae"	"Acartia"	"Acartia_margalefi"
"ASV207"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV208"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV209"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV210"	"Eukaryota"	"Annelida"	"Polychaeta"	"Paraonidae"	"Paraonidae"	"Paradoneis"	"Paradoneis_lyra"
"ASV211"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV212"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV213"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV214"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV215"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV216"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV217"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV218"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV219"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV220"	"Eukaryota"	"Platyhelminthes"	"Rhabditophora"	"Macrostomida"	"Microstomidae"	"Microstomum"	NA
"ASV221"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV222"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV223"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV224"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV225"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV226"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV227"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV228"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV229"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV230"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV231"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV232"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV233"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV234"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV235"	"Eukaryota"	"Platyhelminthes"	"Rhabditophora"	"Macrostomida"	"Microstomidae"	"Microstomum"	NA
"ASV236"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV237"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV238"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV239"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV240"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV241"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV242"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV243"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV244"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV245"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV246"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV247"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV248"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV249"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV250"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV251"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV252"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV253"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV254"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV255"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV256"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV257"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV258"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV259"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV260"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV261"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV262"	"Eukaryota"	"Arthropoda"	NA	NA	NA	NA	NA
"ASV263"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV264"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV265"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV266"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV267"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV268"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV269"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV270"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV271"	"Eukaryota"	"Mollusca"	"Bivalvia"	"Pectinoida"	"Pectinidae"	"Aequipecten"	"Aequipecten_opercularis"
"ASV272"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV273"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV274"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV275"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV276"	"Eukaryota"	"Fucales"	"Phaeophyceae_5"	"Fucales"	"Sargassaceae"	"Halidrys"	"Halidrys_siliquosa"
"ASV277"	"Eukaryota"	"Fucales"	"Phaeophyceae_5"	"Fucales"	"Sargassaceae"	"Cystoseira"	"Cystoseira_baccata"
"ASV278"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV279"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV280"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV281"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV282"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV283"	"Eukaryota"	"Mollusca"	"Gastropoda"	"Trochida"	"Phasianellidae"	"Tricolia"	"Tricolia_pullus"
"ASV284"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV285"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV286"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV287"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV288"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV289"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV290"	"Eukaryota"	"Mollusca"	"Gastropoda"	"Nudibranchia"	"Trinchesiidae"	"Catriona"	"Catriona_aurantia"
"ASV291"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV292"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV293"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV294"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV295"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV296"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV297"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV298"	"Eukaryota"	"Annelida"	"Polychaeta"	"Phyllodocida"	"Hesionidae"	"Hesiospina"	"Hesiospina_aurantiaca"
"ASV299"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV300"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV301"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV302"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV303"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV304"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV305"	"Eukaryota"	"Cutleriales"	"Phaeophyceae_13"	"Cutleriales"	"Cutleriaceae"	"Cutleria"	"Cutleria_multifida"
"ASV306"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV307"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV308"	"Eukaryota"	"Arthropoda"	NA	NA	NA	NA	NA
"ASV309"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV310"	"Eukaryota"	"Porifera"	"Demospongiae"	"Poecilosclerida"	"Esperiopsidae"	"Amphilectus"	"Amphilectus_fucorum"
"ASV311"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV312"	"Eukaryota"	"Ectocarpales"	"Phaeophyceae_16"	"Ectocarpales"	"Chordariaceae"	"Striaria"	"Striaria_attenuata"
"ASV313"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV314"	"Eukaryota"	"Chordata"	"Ascidiacea"	"Phlebobranchia"	"Ascidiidae"	"Ascidiella"	"Ascidiella_aspersa"
"ASV315"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV316"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Serpulidae"	"Hydroides"	"Hydroides_norvegicus"
"ASV317"	"Eukaryota"	"Annelida"	"Polychaeta"	"Sabellida"	"Serpulidae"	"Hydroides"	"Hydroides_elegans"
"ASV318"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV319"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV320"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV321"	"Eukaryota"	"Bryozoa"	"Gymnolaemata"	"Ctenostomatida"	"Vesiculariidae"	"Amathia"	"Amathia_tertia"
"ASV322"	"Eukaryota"	"Bryozoa"	"Gymnolaemata"	"Ctenostomatida"	"Vesiculariidae"	"Amathia"	"Amathia_imbricata"
"ASV323"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV324"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV325"	"Eukaryota"	"Porifera"	"Demospongiae"	"Dendroceratida"	"Dictyodendrillidae"	"Igernella"	"Igernella_notabilis"
"ASV326"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV327"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV328"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV329"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV330"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV331"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV332"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV333"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV334"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV335"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV336"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV337"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV338"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV339"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV340"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV341"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV342"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV343"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV344"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV345"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV346"	"Eukaryota"	NA	NA	NA	NA	NA	NA
